Entity,Code,Day,people_fully_vaccinated_per_hundred,145609-annotations
Africa,,2021-05-21,0.49,
Africa,,2021-05-22,0.5,
Africa,,2021-05-23,0.5,
Africa,,2021-05-24,0.51,
Africa,,2021-05-25,0.52,
Africa,,2021-05-26,0.53,
Africa,,2021-05-27,0.53,
Africa,,2021-05-28,0.54,
Africa,,2021-05-29,0.54,
Africa,,2021-05-30,0.54,
Africa,,2021-05-31,0.63,
Africa,,2021-06-01,0.65,
Africa,,2021-06-02,0.66,
Africa,,2021-06-03,0.67,
Africa,,2021-06-04,0.68,
Africa,,2021-06-05,0.68,
Africa,,2021-06-06,0.7,
Africa,,2021-06-07,0.72,
Africa,,2021-06-08,0.76,
Africa,,2021-06-09,0.79,
Africa,,2021-06-10,0.82,
Africa,,2021-06-11,0.84,
Africa,,2021-06-12,0.85,
Africa,,2021-06-13,0.85,
Africa,,2021-06-14,0.88,
Africa,,2021-06-15,0.94,
Africa,,2021-06-16,0.95,
Africa,,2021-06-17,0.97,
Africa,,2021-06-18,0.98,
Africa,,2021-06-19,0.99,
Africa,,2021-06-20,1,
Africa,,2021-06-21,1.03,
Africa,,2021-06-22,1.03,
Africa,,2021-06-23,1.05,
Africa,,2021-06-24,1.09,
Africa,,2021-06-25,1.1,
Africa,,2021-06-26,1.11,
Africa,,2021-06-27,1.12,
Africa,,2021-06-28,1.15,
Africa,,2021-06-29,1.15,
Africa,,2021-06-30,1.17,
Africa,,2021-07-01,1.18,
Africa,,2021-07-02,1.18,
Africa,,2021-07-03,1.18,
Africa,,2021-07-04,1.2,
Africa,,2021-07-05,1.23,
Africa,,2021-07-06,1.24,
Africa,,2021-07-07,1.25,
Africa,,2021-07-08,1.31,
Africa,,2021-07-09,1.32,
Africa,,2021-07-10,1.32,
Africa,,2021-07-11,1.32,
Africa,,2021-07-12,1.38,
Africa,,2021-07-13,1.4,
Africa,,2021-07-14,1.41,
Africa,,2021-07-15,1.44,
Africa,,2021-07-16,1.45,
Africa,,2021-07-17,1.45,
Africa,,2021-07-18,1.46,
Africa,,2021-07-19,1.5,
Africa,,2021-07-20,1.51,
Africa,,2021-07-21,1.51,
Africa,,2021-07-22,1.54,
Africa,,2021-07-23,1.55,
Africa,,2021-07-24,1.56,
Africa,,2021-07-25,1.59,
Africa,,2021-07-26,1.6,
Africa,,2021-07-27,1.63,
Africa,,2021-07-28,1.64,
Africa,,2021-07-29,1.73,
Africa,,2021-07-30,1.74,
Africa,,2021-07-31,1.75,
Africa,,2021-08-01,1.76,
Africa,,2021-08-02,1.78,
Africa,,2021-08-03,1.85,
Africa,,2021-08-04,1.85,
Africa,,2021-08-05,1.89,
Africa,,2021-08-06,1.9,
Africa,,2021-08-07,1.94,
Africa,,2021-08-08,1.97,
Africa,,2021-08-09,2,
Albania,ALB,2021-02-02,0,
Albania,ALB,2021-02-09,0.02,
Albania,ALB,2021-02-17,0.02,
Albania,ALB,2021-02-18,0.02,
Albania,ALB,2021-02-22,0.02,
Albania,ALB,2021-05-11,6.31,
Albania,ALB,2021-05-12,6.53,
Albania,ALB,2021-05-13,6.7,
Albania,ALB,2021-05-14,7.12,
Albania,ALB,2021-05-17,7.75,
Albania,ALB,2021-05-18,7.95,
Albania,ALB,2021-05-19,8.15,
Albania,ALB,2021-05-20,8.26,
Albania,ALB,2021-05-21,8.33,
Albania,ALB,2021-05-23,8.47,
Albania,ALB,2021-05-24,8.68,
Albania,ALB,2021-05-26,9.35,
Albania,ALB,2021-05-27,9.63,
Albania,ALB,2021-05-30,9.97,
Albania,ALB,2021-05-31,10.09,
Albania,ALB,2021-06-01,10.19,
Albania,ALB,2021-06-03,10.33,
Albania,ALB,2021-06-06,10.64,
Albania,ALB,2021-06-07,10.78,
Albania,ALB,2021-06-08,10.97,
Albania,ALB,2021-06-09,11.14,
Albania,ALB,2021-06-10,11.28,
Albania,ALB,2021-06-11,11.42,
Albania,ALB,2021-06-12,11.51,
Albania,ALB,2021-06-13,11.54,
Albania,ALB,2021-06-14,11.63,
Albania,ALB,2021-06-15,11.83,
Albania,ALB,2021-06-16,11.99,
Albania,ALB,2021-06-17,12.21,
Albania,ALB,2021-06-20,12.68,
Albania,ALB,2021-06-21,12.87,
Albania,ALB,2021-06-22,13.05,
Albania,ALB,2021-06-23,13.23,
Albania,ALB,2021-06-24,13.41,
Albania,ALB,2021-06-28,13.77,
Albania,ALB,2021-06-29,13.87,
Albania,ALB,2021-06-30,14.02,
Albania,ALB,2021-07-01,14.16,
Albania,ALB,2021-07-02,14.32,
Albania,ALB,2021-07-04,14.48,
Albania,ALB,2021-07-05,14.59,
Albania,ALB,2021-07-06,14.7,
Albania,ALB,2021-07-07,14.81,
Albania,ALB,2021-07-08,14.91,
Albania,ALB,2021-07-09,15,
Albania,ALB,2021-07-10,15.09,
Albania,ALB,2021-07-11,15.11,
Albania,ALB,2021-07-12,15.25,
Albania,ALB,2021-07-13,15.4,
Albania,ALB,2021-07-14,15.6,
Albania,ALB,2021-07-15,15.82,
Albania,ALB,2021-07-16,16.01,
Albania,ALB,2021-07-17,16.17,
Albania,ALB,2021-07-18,16.22,
Albania,ALB,2021-07-20,16.43,
Albania,ALB,2021-07-21,16.64,
Albania,ALB,2021-07-22,16.86,
Albania,ALB,2021-07-25,17.33,
Albania,ALB,2021-07-29,18.04,
Albania,ALB,2021-07-30,18.25,
Albania,ALB,2021-07-31,18.37,
Albania,ALB,2021-08-01,18.43,
Albania,ALB,2021-08-02,18.58,
Albania,ALB,2021-08-03,18.72,
Albania,ALB,2021-08-04,18.82,
Albania,ALB,2021-08-05,18.94,
Albania,ALB,2021-08-08,19.23,
Algeria,DZA,2021-07-29,1.65,
Andorra,AND,2021-03-08,1.52,
Andorra,AND,2021-03-10,1.64,
Andorra,AND,2021-03-15,1.64,
Andorra,AND,2021-04-05,5.8,
Andorra,AND,2021-04-19,6.06,
Andorra,AND,2021-04-26,6.06,
Andorra,AND,2021-05-03,6.08,
Andorra,AND,2021-05-10,6.09,
Andorra,AND,2021-05-17,6.09,
Andorra,AND,2021-05-31,10.75,
Andorra,AND,2021-06-07,14.16,
Andorra,AND,2021-06-14,21.25,
Andorra,AND,2021-06-21,31.84,
Andorra,AND,2021-06-28,34.44,
Andorra,AND,2021-07-12,34.96,
Andorra,AND,2021-07-19,43.88,
Angola,AGO,2021-05-12,0.12,
Angola,AGO,2021-05-18,0.23,
Angola,AGO,2021-05-21,0.39,
Angola,AGO,2021-05-26,0.6,
Angola,AGO,2021-05-31,0.7,
Angola,AGO,2021-06-08,1.14,
Angola,AGO,2021-06-10,1.36,
Angola,AGO,2021-06-15,1.5,
Angola,AGO,2021-06-20,1.56,
Angola,AGO,2021-06-24,1.59,
Angola,AGO,2021-06-28,1.66,
Angola,AGO,2021-07-05,1.71,
Angola,AGO,2021-07-12,1.83,
Angola,AGO,2021-07-19,1.93,
Angola,AGO,2021-08-03,2.16,
Angola,AGO,2021-08-09,2.2,
Anguilla,AIA,2021-04-22,5.22,
Anguilla,AIA,2021-05-17,29.49,
Anguilla,AIA,2021-05-28,36.26,
Anguilla,AIA,2021-06-04,36.75,
Anguilla,AIA,2021-06-11,38.78,
Anguilla,AIA,2021-06-18,40.09,
Anguilla,AIA,2021-06-25,43.49,
Anguilla,AIA,2021-07-02,47.73,
Anguilla,AIA,2021-07-09,50.86,
Anguilla,AIA,2021-07-16,56.29,
Anguilla,AIA,2021-07-23,57.35,
Anguilla,AIA,2021-07-30,58.43,
Anguilla,AIA,2021-08-06,59.76,
Antigua and Barbuda,ATG,2021-05-17,2.64,
Antigua and Barbuda,ATG,2021-05-21,7.2,
Antigua and Barbuda,ATG,2021-05-25,9.45,
Antigua and Barbuda,ATG,2021-05-26,11.59,
Antigua and Barbuda,ATG,2021-05-27,13.19,
Antigua and Barbuda,ATG,2021-05-29,15.45,
Antigua and Barbuda,ATG,2021-05-31,17.22,
Antigua and Barbuda,ATG,2021-06-03,18.56,
Antigua and Barbuda,ATG,2021-06-06,21.95,
Antigua and Barbuda,ATG,2021-06-07,23.38,
Antigua and Barbuda,ATG,2021-06-09,23.93,
Antigua and Barbuda,ATG,2021-06-12,24.35,
Antigua and Barbuda,ATG,2021-06-15,24.84,
Antigua and Barbuda,ATG,2021-06-17,27.16,
Antigua and Barbuda,ATG,2021-06-20,27.61,
Antigua and Barbuda,ATG,2021-06-29,28.15,
Antigua and Barbuda,ATG,2021-07-01,28.46,
Antigua and Barbuda,ATG,2021-07-04,28.6,
Antigua and Barbuda,ATG,2021-07-06,28.67,
Antigua and Barbuda,ATG,2021-07-08,28.85,
Antigua and Barbuda,ATG,2021-07-09,29.03,
Antigua and Barbuda,ATG,2021-07-13,29.22,
Antigua and Barbuda,ATG,2021-07-15,29.27,
Antigua and Barbuda,ATG,2021-07-18,29.42,
Antigua and Barbuda,ATG,2021-07-20,29.57,
Antigua and Barbuda,ATG,2021-07-21,29.64,
Antigua and Barbuda,ATG,2021-07-22,30.93,
Antigua and Barbuda,ATG,2021-07-25,31.07,
Antigua and Barbuda,ATG,2021-07-28,31.3,
Antigua and Barbuda,ATG,2021-07-29,31.35,
Antigua and Barbuda,ATG,2021-08-02,31.58,
Antigua and Barbuda,ATG,2021-08-04,31.71,
Antigua and Barbuda,ATG,2021-08-07,31.96,
Argentina,ARG,2021-01-20,0.01,
Argentina,ARG,2021-01-21,0.04,
Argentina,ARG,2021-01-22,0.06,
Argentina,ARG,2021-01-23,0.06,
Argentina,ARG,2021-01-24,0.07,
Argentina,ARG,2021-01-25,0.07,
Argentina,ARG,2021-01-26,0.09,
Argentina,ARG,2021-01-27,0.1,
Argentina,ARG,2021-01-28,0.11,
Argentina,ARG,2021-01-29,0.15,
Argentina,ARG,2021-01-30,0.19,
Argentina,ARG,2021-02-01,0.21,
Argentina,ARG,2021-02-03,0.25,
Argentina,ARG,2021-02-04,0.32,
Argentina,ARG,2021-02-06,0.36,
Argentina,ARG,2021-02-07,0.4,
Argentina,ARG,2021-02-08,0.42,
Argentina,ARG,2021-02-09,0.42,
Argentina,ARG,2021-02-10,0.44,
Argentina,ARG,2021-02-11,0.47,
Argentina,ARG,2021-02-12,0.49,
Argentina,ARG,2021-02-13,0.52,
Argentina,ARG,2021-02-14,0.53,
Argentina,ARG,2021-02-15,0.53,
Argentina,ARG,2021-02-16,0.53,
Argentina,ARG,2021-02-17,0.53,
Argentina,ARG,2021-02-18,0.54,
Argentina,ARG,2021-02-19,0.56,
Argentina,ARG,2021-02-20,0.58,
Argentina,ARG,2021-02-21,0.58,
Argentina,ARG,2021-02-22,0.58,
Argentina,ARG,2021-02-23,0.59,
Argentina,ARG,2021-02-24,0.59,
Argentina,ARG,2021-02-25,0.6,
Argentina,ARG,2021-02-26,0.63,
Argentina,ARG,2021-02-27,0.64,
Argentina,ARG,2021-02-28,0.65,
Argentina,ARG,2021-03-01,0.65,
Argentina,ARG,2021-03-02,0.67,
Argentina,ARG,2021-03-03,0.68,
Argentina,ARG,2021-03-04,0.69,
Argentina,ARG,2021-03-05,0.72,
Argentina,ARG,2021-03-07,0.76,
Argentina,ARG,2021-03-08,0.76,
Argentina,ARG,2021-03-09,0.77,
Argentina,ARG,2021-03-10,0.77,
Argentina,ARG,2021-03-11,0.78,
Argentina,ARG,2021-03-12,0.84,
Argentina,ARG,2021-03-13,0.93,
Argentina,ARG,2021-03-14,0.99,
Argentina,ARG,2021-03-15,1,
Argentina,ARG,2021-03-16,1.06,
Argentina,ARG,2021-03-17,1.1,
Argentina,ARG,2021-03-18,1.14,
Argentina,ARG,2021-03-19,1.23,
Argentina,ARG,2021-03-20,1.31,
Argentina,ARG,2021-03-21,1.34,
Argentina,ARG,2021-03-22,1.34,
Argentina,ARG,2021-03-23,1.38,
Argentina,ARG,2021-03-24,1.4,
Argentina,ARG,2021-03-25,1.41,
Argentina,ARG,2021-03-26,1.44,
Argentina,ARG,2021-03-27,1.46,
Argentina,ARG,2021-03-28,1.47,
Argentina,ARG,2021-03-29,1.47,
Argentina,ARG,2021-03-30,1.48,
Argentina,ARG,2021-03-31,1.5,
Argentina,ARG,2021-04-01,1.51,
Argentina,ARG,2021-04-02,1.51,
Argentina,ARG,2021-04-03,1.51,
Argentina,ARG,2021-04-04,1.51,
Argentina,ARG,2021-04-05,1.51,
Argentina,ARG,2021-04-06,1.53,
Argentina,ARG,2021-04-07,1.55,
Argentina,ARG,2021-04-08,1.56,
Argentina,ARG,2021-04-09,1.57,
Argentina,ARG,2021-04-10,1.6,
Argentina,ARG,2021-04-11,1.61,
Argentina,ARG,2021-04-12,1.61,
Argentina,ARG,2021-04-13,1.63,
Argentina,ARG,2021-04-14,1.68,
Argentina,ARG,2021-04-15,1.71,
Argentina,ARG,2021-04-16,1.74,
Argentina,ARG,2021-04-17,1.76,
Argentina,ARG,2021-04-18,1.77,
Argentina,ARG,2021-04-19,1.77,
Argentina,ARG,2021-04-20,1.8,
Argentina,ARG,2021-04-21,1.83,
Argentina,ARG,2021-04-22,1.86,
Argentina,ARG,2021-04-23,1.89,
Argentina,ARG,2021-04-24,1.92,
Argentina,ARG,2021-04-25,1.93,
Argentina,ARG,2021-04-26,1.93,
Argentina,ARG,2021-04-27,1.95,
Argentina,ARG,2021-04-28,1.96,
Argentina,ARG,2021-04-29,2.01,
Argentina,ARG,2021-04-30,2.08,
Argentina,ARG,2021-05-01,2.14,
Argentina,ARG,2021-05-02,2.15,
Argentina,ARG,2021-05-03,2.19,
Argentina,ARG,2021-05-04,2.32,
Argentina,ARG,2021-05-05,2.5,
Argentina,ARG,2021-05-06,2.64,
Argentina,ARG,2021-05-07,2.8,
Argentina,ARG,2021-05-08,2.97,
Argentina,ARG,2021-05-09,3.08,
Argentina,ARG,2021-05-10,3.11,
Argentina,ARG,2021-05-11,3.2,
Argentina,ARG,2021-05-12,3.36,
Argentina,ARG,2021-05-13,3.61,
Argentina,ARG,2021-05-14,3.87,
Argentina,ARG,2021-05-15,4.14,
Argentina,ARG,2021-05-16,4.21,
Argentina,ARG,2021-05-17,4.32,
Argentina,ARG,2021-05-18,4.54,
Argentina,ARG,2021-05-19,4.66,
Argentina,ARG,2021-05-20,4.76,
Argentina,ARG,2021-05-21,4.93,
Argentina,ARG,2021-05-22,5.13,
Argentina,ARG,2021-05-23,5.23,
Argentina,ARG,2021-05-24,5.34,
Argentina,ARG,2021-05-25,5.39,
Argentina,ARG,2021-05-26,5.43,
Argentina,ARG,2021-05-27,5.57,
Argentina,ARG,2021-05-28,5.74,
Argentina,ARG,2021-05-29,5.97,
Argentina,ARG,2021-05-30,6.1,
Argentina,ARG,2021-05-31,6.15,
Argentina,ARG,2021-06-01,6.26,
Argentina,ARG,2021-06-02,6.36,
Argentina,ARG,2021-06-03,6.46,
Argentina,ARG,2021-06-04,6.54,
Argentina,ARG,2021-06-05,6.63,
Argentina,ARG,2021-06-06,6.68,
Argentina,ARG,2021-06-07,6.74,
Argentina,ARG,2021-06-08,6.83,
Argentina,ARG,2021-06-09,6.91,
Argentina,ARG,2021-06-10,6.97,
Argentina,ARG,2021-06-11,7.02,
Argentina,ARG,2021-06-12,7.13,
Argentina,ARG,2021-06-13,7.29,
Argentina,ARG,2021-06-14,7.39,
Argentina,ARG,2021-06-15,7.57,
Argentina,ARG,2021-06-16,7.72,
Argentina,ARG,2021-06-17,7.88,
Argentina,ARG,2021-06-18,8.02,
Argentina,ARG,2021-06-19,8.11,
Argentina,ARG,2021-06-20,8.16,
Argentina,ARG,2021-06-21,8.17,
Argentina,ARG,2021-06-22,8.23,
Argentina,ARG,2021-06-23,8.32,
Argentina,ARG,2021-06-24,8.39,
Argentina,ARG,2021-06-25,8.48,
Argentina,ARG,2021-06-26,8.59,
Argentina,ARG,2021-06-27,8.67,
Argentina,ARG,2021-06-28,8.76,
Argentina,ARG,2021-06-29,8.83,
Argentina,ARG,2021-06-30,8.94,
Argentina,ARG,2021-07-01,9.04,
Argentina,ARG,2021-07-02,9.3,
Argentina,ARG,2021-07-03,9.52,
Argentina,ARG,2021-07-04,9.7,
Argentina,ARG,2021-07-05,9.81,
Argentina,ARG,2021-07-06,10.1,
Argentina,ARG,2021-07-07,10.49,
Argentina,ARG,2021-07-08,10.74,
Argentina,ARG,2021-07-09,10.81,
Argentina,ARG,2021-07-10,11.09,
Argentina,ARG,2021-07-11,11.11,
Argentina,ARG,2021-07-12,11.15,
Argentina,ARG,2021-07-13,11.23,
Argentina,ARG,2021-07-14,11.31,
Argentina,ARG,2021-07-15,11.39,
Argentina,ARG,2021-07-16,11.49,
Argentina,ARG,2021-07-17,11.7,
Argentina,ARG,2021-07-18,11.86,
Argentina,ARG,2021-07-19,11.95,
Argentina,ARG,2021-07-20,12.13,
Argentina,ARG,2021-07-21,12.59,
Argentina,ARG,2021-07-22,12.83,
Argentina,ARG,2021-07-23,12.98,
Argentina,ARG,2021-07-24,13.15,
Argentina,ARG,2021-07-25,13.29,
Argentina,ARG,2021-07-26,13.33,
Argentina,ARG,2021-07-27,13.57,
Argentina,ARG,2021-07-28,14.06,
Argentina,ARG,2021-07-29,14.45,
Argentina,ARG,2021-07-30,14.86,
Argentina,ARG,2021-07-31,15.29,
Argentina,ARG,2021-08-01,15.61,
Argentina,ARG,2021-08-02,15.84,
Argentina,ARG,2021-08-03,16.28,
Argentina,ARG,2021-08-04,17.01,
Argentina,ARG,2021-08-05,17.54,
Argentina,ARG,2021-08-06,18.11,
Argentina,ARG,2021-08-07,18.59,
Argentina,ARG,2021-08-08,18.91,
Argentina,ARG,2021-08-09,19.3,
Armenia,ARM,2021-06-20,0.4,
Armenia,ARM,2021-06-27,0.55,
Armenia,ARM,2021-07-11,1.03,
Armenia,ARM,2021-07-18,1.23,
Armenia,ARM,2021-07-25,1.48,
Armenia,ARM,2021-08-01,1.74,
Armenia,ARM,2021-08-08,2.1,
Aruba,ABW,2021-03-29,9.52,
Aruba,ABW,2021-04-10,11.14,
Aruba,ABW,2021-04-12,11.18,
Aruba,ABW,2021-04-13,11.26,
Aruba,ABW,2021-04-14,11.37,
Aruba,ABW,2021-04-15,11.77,
Aruba,ABW,2021-04-16,12.17,
Aruba,ABW,2021-04-17,12.94,
Aruba,ABW,2021-04-18,12.94,
Aruba,ABW,2021-04-19,13.97,
Aruba,ABW,2021-04-20,15.39,
Aruba,ABW,2021-04-21,16.79,
Aruba,ABW,2021-04-22,17.97,
Aruba,ABW,2021-04-23,18.63,
Aruba,ABW,2021-04-24,18.67,
Aruba,ABW,2021-04-25,18.68,
Aruba,ABW,2021-04-26,18.84,
Aruba,ABW,2021-04-28,19.53,
Aruba,ABW,2021-04-29,20.37,
Aruba,ABW,2021-04-30,21.13,
Aruba,ABW,2021-05-03,21.65,
Aruba,ABW,2021-05-04,22.3,
Aruba,ABW,2021-05-05,22.61,
Aruba,ABW,2021-05-06,22.65,
Aruba,ABW,2021-05-07,23.07,
Aruba,ABW,2021-05-08,23.37,
Aruba,ABW,2021-05-10,23.98,
Aruba,ABW,2021-05-11,24.9,
Aruba,ABW,2021-05-12,25.89,
Aruba,ABW,2021-05-13,26.7,
Aruba,ABW,2021-05-14,28.31,
Aruba,ABW,2021-05-15,29.15,
Aruba,ABW,2021-05-17,30.97,
Aruba,ABW,2021-05-18,33.15,
Aruba,ABW,2021-05-19,34.96,
Aruba,ABW,2021-05-20,36.5,
Aruba,ABW,2021-05-21,38.09,
Aruba,ABW,2021-05-22,40.64,
Aruba,ABW,2021-05-23,44.24,
Aruba,ABW,2021-05-24,45.15,
Aruba,ABW,2021-05-25,46.11,
Aruba,ABW,2021-05-26,46.29,
Aruba,ABW,2021-05-27,46.66,
Aruba,ABW,2021-05-28,47.21,
Aruba,ABW,2021-05-29,47.53,
Aruba,ABW,2021-05-31,47.81,
Aruba,ABW,2021-06-01,48.1,
Aruba,ABW,2021-06-02,48.41,
Aruba,ABW,2021-06-03,49.23,
Aruba,ABW,2021-06-04,49.24,
Aruba,ABW,2021-06-06,49.24,
Aruba,ABW,2021-06-07,49.5,
Aruba,ABW,2021-06-08,49.85,
Aruba,ABW,2021-06-09,50.16,
Aruba,ABW,2021-06-10,50.44,
Aruba,ABW,2021-06-11,50.72,
Aruba,ABW,2021-06-12,51.91,
Aruba,ABW,2021-06-14,52.16,
Aruba,ABW,2021-06-15,52.39,
Aruba,ABW,2021-06-16,52.65,
Aruba,ABW,2021-06-17,52.92,
Aruba,ABW,2021-06-18,53.2,
Aruba,ABW,2021-06-20,53.41,
Aruba,ABW,2021-06-21,53.69,
Aruba,ABW,2021-06-22,53.69,
Aruba,ABW,2021-06-23,54.07,
Aruba,ABW,2021-06-24,54.33,
Aruba,ABW,2021-06-27,54.34,
Aruba,ABW,2021-06-28,54.72,
Aruba,ABW,2021-06-29,55.05,
Aruba,ABW,2021-06-30,55.66,
Aruba,ABW,2021-07-01,55.75,
Aruba,ABW,2021-07-02,56.1,
Aruba,ABW,2021-07-05,56.51,
Aruba,ABW,2021-07-06,56.84,
Aruba,ABW,2021-07-07,57.12,
Aruba,ABW,2021-07-08,57.38,
Aruba,ABW,2021-07-09,57.73,
Aruba,ABW,2021-07-10,57.84,
Aruba,ABW,2021-07-12,58.06,
Aruba,ABW,2021-07-13,58.24,
Aruba,ABW,2021-07-14,58.47,
Aruba,ABW,2021-07-15,58.73,
Aruba,ABW,2021-07-16,58.74,
Aruba,ABW,2021-07-19,59.1,
Aruba,ABW,2021-07-20,59.11,
Aruba,ABW,2021-07-21,59.32,
Aruba,ABW,2021-07-22,59.53,
Aruba,ABW,2021-07-23,59.57,
Aruba,ABW,2021-07-26,59.79,
Aruba,ABW,2021-07-27,60,
Aruba,ABW,2021-07-28,60.23,
Aruba,ABW,2021-07-29,60.46,
Aruba,ABW,2021-07-30,60.7,
Aruba,ABW,2021-07-31,61.55,
Aruba,ABW,2021-08-01,61.55,
Aruba,ABW,2021-08-02,61.7,
Aruba,ABW,2021-08-03,62,
Aruba,ABW,2021-08-04,62.06,
Aruba,ABW,2021-08-05,62.19,
Aruba,ABW,2021-08-06,62.36,
Aruba,ABW,2021-08-09,62.53,
Asia,,2021-01-04,0,"Data for China added, June 10"
Asia,,2021-01-05,0,"Data for China added, June 10"
Asia,,2021-01-06,0,"Data for China added, June 10"
Asia,,2021-01-07,0,"Data for China added, June 10"
Asia,,2021-01-08,0,"Data for China added, June 10"
Asia,,2021-01-09,0,"Data for China added, June 10"
Asia,,2021-01-10,0.01,"Data for China added, June 10"
Asia,,2021-01-11,0.01,"Data for China added, June 10"
Asia,,2021-01-12,0.01,"Data for China added, June 10"
Asia,,2021-01-13,0.01,"Data for China added, June 10"
Asia,,2021-01-14,0.01,"Data for China added, June 10"
Asia,,2021-01-15,0.01,"Data for China added, June 10"
Asia,,2021-01-16,0.01,"Data for China added, June 10"
Asia,,2021-01-17,0.01,"Data for China added, June 10"
Asia,,2021-01-18,0.02,"Data for China added, June 10"
Asia,,2021-01-19,0.02,"Data for China added, June 10"
Asia,,2021-01-20,0.02,"Data for China added, June 10"
Asia,,2021-01-21,0.02,"Data for China added, June 10"
Asia,,2021-01-22,0.03,"Data for China added, June 10"
Asia,,2021-01-23,0.03,"Data for China added, June 10"
Asia,,2021-01-24,0.03,"Data for China added, June 10"
Asia,,2021-01-25,0.03,"Data for China added, June 10"
Asia,,2021-01-26,0.04,"Data for China added, June 10"
Asia,,2021-01-27,0.04,"Data for China added, June 10"
Asia,,2021-01-28,0.04,"Data for China added, June 10"
Asia,,2021-01-29,0.04,"Data for China added, June 10"
